Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Giannis Antetokounmpo,63,1959,359,742,52,51,55.3,27.5
Jrue Holiday,67,1290,495,341,79,25,47.9,38.4
Brook Lopez,78,1239,99,520,37,193,53.1,37.4
Bobby Portis,70,987,105,672,29,16,49.6,37.0
Grayson Allen,72,750,163,237,62,14,44.0,39.9
Jevon Carter,81,651,197,202,66,29,42.3,42.1
Khris Middleton,33,497,163,140,23,5,43.6,31.5
Pat Connaughton,61,466,77,283,37,11,39.2,33.9
Joe Ingles,46,317,150,128,33,6,43.5,40.9
MarJon Beauchamp,52,266,35,115,21,7,39.5,33.1
