Player, GP, Points, Assists, Rebounds, Steals, Blocks, FG%, 3PT%
Jayson Tatum 	25	74	52	22	2732.2	2225	727	1559	46.6	240	686	35.0	531	622	85.4	78	571	649	342	213	78	51	160	3691	31	1	470
Jaylen Brown	26	67	46	21	2404.9	1784	679	1383	49.1	163	487	33.5	263	344	76.5	78	381	459	232	197	75	26	172	2789	13	0	256
Derrick White	28	82	57	25	2319.3	1017	350	758	46.2	149	391	38.1	168	192	87.5	52	241	293	321	95	54	76	177	2145	7	0	488
Malcolm Brogdon	30	67	46	21	1743.8	1000	354	732	48.4	132	297	44.4	160	184	87.0	42	238	280	248	98	45	18	109	1799	0	0	182
Marcus Smart 61	43	18	1956.8	703	250	602	41.5	115	342	33.6	88	118	74.6	46	145	191	382	143	93	23	172	1710	6	0	240
Grant Williams	24	79	55	24	2044.8	641	216	476	45.4	115	291	39.5	94	122	77.0	87	276	363	131	82	41	31	192	1407	3	0	206
Al Horford	36	63	44	19	1921.4	616	228	479	47.6	145	325	44.6	15	21	71.4	73	317	390	189	37	30	61	121	1604	7	0	309
Sam Hauser	25	80	55	25	1289.9	512	180	396	45.5	140	335	41.8	12	17	70.6	35	169	204	71	30	29	21	99	983	0	0	219
Robert Williams III	25	35	24	11	823.5	279	127	170	74.7	0	1	0.0	25	41	61.0	104	188	292	50	34	22	48	68	880	6	0	173
Payton Pritchard
