Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Lauri Markkanen,66,1691,123,570,42,38,49.9,39.2
Jordan Clarkson,61,1271,270,246,33,13,44.4,33.8
Kelly Olynyk,68,847,252,420,60,37,49.9,39.4
Malik Beasley,55,736,93,197,44,8,39.6,35.9
Talen Horton-Tucker,65,698,246,210,41,29,41.9,28.6
Collin Sexton,48,685,138,105,27,6,50.6,39.3
Walker Kessler,74,679,69,620,26,173,72.0,33.3
Ochai Agbaji,59,467,67,121,16,15,42.7,35.5
Mike Conley,43,461,330,107,44,10,40.8,36.2
Jarred Vanderbilt,52,432,142,409,53,15,55.6,33.3
