Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
De'Aaron Fox,73,1826,447,306,83,23,51.2,32.4
Domantas Sabonis,79,1510,573,973,65,39,61.5,37.3
Harrison Barnes,82,1230,128,366,57,10,47.3,37.4
Kevin Huerter,75,1140,221,251,80,24,48.5,40.2
Malik Monk,77,1041,298,203,49,20,44.8,35.9
Keegan Murray,80,976,98,371,61,42,45.3,41.1
Trey Lyles,74,562,66,300,27,31,45.8,36.3
Davion Mitchell,80,450,185,105,15,112,45.4,32.0
Terence Davis,64,431,67,139,43,12,42.3,36.6
Chimezie Metu,66,321,40,198,22,21,58.9,23.7
