Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Julius Randle,77,1936,316,767,49,21,45.9,34.3
Jalen Brunson,68,1633,421,241,15,152,49.1,41.6
RJ Barrett,73,1431,201,368,31,15,43.4,31.0
Immanuel Quickley,81,1209,279,337,80,14,44.8,37.0
Quentin Grimes,71,799,150,229,47,26,46.8,38.6
Obi Toppin,67,497,66,187,23,12,44.6,34.4
Mitchell Robinson,59,435,53,555,56,109,67.1,0.0
Isaiah Hartenstein,82,406,102,536,53,64,53.5,21.6
Josh Hart,25,256,90,176,34,12,58.6,51.9
Miles McBride,64,222,72,50,8,60,35.8,29.9
