Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Luka Doncic,66,2138,529,569,90,33,49.6,34.2
Christian Wood,67,1114,121,491,30,72,51.5,37.6
Tim Hardaway Jr.,71,1019,129,251,49,12,40.1,38.5
Spencer Dinwiddie,53,940,279,163,39,16,45.5,40.5
Reggie Bullock,78,561,108,283,54,13,40.9,38.0
Josh Green,60,546,103,182,42,5,53.7,40.2
Kyrie Irving,20,539,120,100,25,12,51.0,39.2
Dwight Powell,76,506,69,314,48,26,73.2,0.0
Jaden Hardy,48,420,65,89,17,7,43.8,40.4
Dorian Finney-Smith,40,365,59,188,38,20,41.6,35.5
