Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Buddy Hield,80,1344,225,400,92,26,45.8,42.5
Bennedict Mathurin,78,1302,116,318,48,13,43.4,32.3
Tyrese Haliburton,56,1160,585,205,91,25,49.0,40.0
Myles Turner,62,1113,89,466,36,140,54.8,37.3
Aaron Nesmith,73,738,98,277,55,34,42.7,36.6
Andrew Nembhard,75,709,341,199,70,13,44.1,35.0
T.J. McConnell,75,650,397,234,81,10,54.3,44.1
Jalen Smith,68,642,66,394,21,60,47.6,28.3
Isaiah Jackson,63,455,51,282,31,93,56.3,14.3
Oshae Brissett,65,398,44,218,33,13,38.6,31.0
