Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Jalen Green,76,1683,281,284,59,18,41.6,33.8
Kevin Porter Jr.,59,1130,338,314,82,17,44.2,36.6
Alperen Sengun,75,1109,291,678,70,70,55.3,33.3
Kenyon Martin Jr.,82,1039,123,452,41,30,56.9,31.5
Jabari Smith Jr.,79,1010,101,569,43,74,40.8,30.7
Tari Eason,82,760,88,496,96,47,44.8,34.3
Eric Gordon,47,615,136,97,30,17,43.9,34.7
Josh Christopher,64,372,73,71,33,15,46.5,23.6
Jae'Sean Tate,31,283,84,118,21,7,48.0,28.3
Daishen Nix,57,226,132,98,31,7,34.2,28.6
