Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Jordan Poole,82,1675,369,225,63,21,43.0,33.6
Stephen Curry,56,1648,352,341,52,20,49.3,42.7
Klay Thompson,69,1509,163,286,49,29,43.6,41.2
Donte DiVincenzo,72,678,252,325,97,10,43.5,39.7
Jonathan Kuminga,67,666,125,231,41,31,52.5,37.0
Andrew Wiggins,37,633,85,186,45,28,47.3,39.6
Draymond Green,73,617,500,525,74,61,52.7,30.5
Kevon Looney,82,578,207,760,52,50,63.0,0.0
Anthony Lamb,62,415,96,215,28,20,47.1,36.7
JaMychal Green,57,366,51,205,25,23,54.0,37.8
