Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Kristaps Porzingis,65,1505,174,546,58,100,49.8,38.5
Kyle Kuzma,64,1357,239,463,36,29,44.8,33.3
Bradley Beal,50,1160,271,196,45,33,50.6,36.5
Corey Kispert,74,820,87,207,32,9,49.7,42.4
Daniel Gafford,78,705,84,433,33,99,73.2,0.0
Deni Avdija,76,697,211,487,65,29,43.7,29.7
Monte Morris,62,636,326,210,43,13,48.0,38.2
Jordan Goodwin,62,407,168,205,58,26,44.8,32.2
Rui Hachimura,30,390,35,128,11,12,48.8,33.7
Delon Wright,50,369,194,180,92,17,47.4,34.5
